Date,Pi_bar_med,Pi_bar_p2_5,Pi_bar_p16,Pi_bar_p84,Pi_bar_p97_5,R_bar_med,R_bar_p2_5,R_bar_p16,R_bar_p84,R_bar_p97_5,Ts_bar_med,Ts_bar_p2_5,Ts_bar_p16,Ts_bar_p84,Ts_bar_p97_5
02-Jan-1985,5.25878801673582,4.96166309741145,5.11040990026159,5.40426649513827,5.54259896666451,2.13963323494774,1.2586994378938,1.69592847297845,2.53392115990209,2.93344115498571,2.2255889126368,1.68599956507844,1.95699627151652,2.49802445053407,2.76049620189644
02-Apr-1985,5.22662884093806,4.95052287006654,5.09077826732585,5.36216722776768,5.49835632251854,2.13026383039177,1.24442746319531,1.68597051091613,2.51706527942672,2.90847109413072,2.21566491156128,1.68731025480948,1.94654507066216,2.4892864186099,2.74110078848639
02-Jul-1985,5.26544749393159,5.01054166906317,5.13971907765137,5.38771023540036,5.50973570758193,2.1200179019285,1.24220152969536,1.67779932035586,2.50261235828881,2.88350219303895,2.20237056703868,1.67334747579973,1.93725227160517,2.47538502067472,2.7252998101255
02-Oct-1985,5.20419399638708,4.98161003007373,5.09542185879535,5.31848054237971,5.42562236957144,2.10570494353061,1.22907688497767,1.67233294311126,2.48531478809493,2.85008451488835,2.18059046823892,1.65802927349503,1.91587841575654,2.44774725165454,2.71394256572166
02-Jan-1986,5.03243783207765,4.82908388554717,4.92807550013758,5.13687751818174,5.23960664328053,2.07864073597415,1.21349363211346,1.65462638947244,2.45337424735543,2.80552682754177,2.14604747576871,1.63476366463322,1.87856454746852,2.40666543309897,2.65619954473096
02-Apr-1986,4.92315266845003,4.71165756441175,4.817045933909,5.03173364334901,5.1417668128031,2.05380208667224,1.20791172596294,1.63990692317953,2.42751881573322,2.77974207101816,2.11974462377361,1.58903825696431,1.8490080906811,2.37452957315005,2.63289302018433
02-Jul-1986,4.85920456516726,4.63357994668171,4.74403353149258,4.97126513420758,5.07691072670294,2.04517266839761,1.21787686719675,1.63466928616389,2.41171703333229,2.76512402445167,2.105160277554,1.57751633023505,1.84038473085394,2.362861121022,2.61955896681482
02-Oct-1986,4.82825048545206,4.61578751396665,4.72130108152103,4.93688645092831,5.04812458586202,2.0436787242153,1.2300843101269,1.63525666600219,2.40660377969647,2.76379612160605,2.106152758266,1.58520945210036,1.83984293535034,2.3667506064847,2.62365794277613
02-Jan-1987,4.84083510056696,4.63266293432587,4.73829973952285,4.94658363264534,5.05496728461682,2.04152375184203,1.23243127033822,1.63133605065058,2.39891724794585,2.76603370264012,2.10243486639461,1.57190680281685,1.83560531684409,2.3649925944169,2.6229933978802
02-Apr-1987,4.86756650309885,4.67161494296547,4.76948093272143,4.9677672933314,5.06788668483426,2.0604216874617,1.24510617210334,1.64443390503076,2.41929678028587,2.79316505651844,2.12842244479787,1.60090123998888,1.86536933821494,2.39491574094341,2.64935256526191
