Date,Series,p2_5,p16,p50,p84,p97_5
1989-10-01,Pi_bar_trend,3.608606220714055,3.7036772153940887,3.797221323702037,3.884794902500306,3.9706787740614575
1990-01-01,Pi_bar_trend,3.5021665129571526,3.5980584091350285,3.694019034782108,3.787075103187317,3.880681753762134
1990-04-01,Pi_bar_trend,3.5468060482736785,3.6367944693534406,3.733664294366986,3.8240272847022827,3.913290340997336
1990-07-01,Pi_bar_trend,3.6037264596145526,3.696163201996402,3.785396420982199,3.8775652549318873,3.966017114649736
1990-10-01,Pi_bar_trend,3.5793792762009415,3.673039076063675,3.7641268685954703,3.857774476001211,3.9482692650120192
1991-01-01,Pi_bar_trend,3.5793010109420957,3.6684817502973077,3.7578325817525347,3.8477813914035646,3.9319787135722395
1991-04-01,Pi_bar_trend,3.5920387746923255,3.676522054993682,3.7649636082074123,3.8582559352438794,3.9461887221277454
1991-07-01,Pi_bar_trend,3.489108099025176,3.5746919618823854,3.668013653227434,3.7559451837841134,3.8472074812734807
1991-10-01,Pi_bar_trend,3.3835372985243524,3.4741250521435627,3.56862822354312,3.6599390465459942,3.7494444423320443
1992-01-01,Pi_bar_trend,3.2931061593241027,3.3804160752530388,3.4707934034882073,3.5594880400193754,3.651382454875488
1992-04-01,Pi_bar_trend,3.280102091974743,3.3648628990461895,3.4580787363376357,3.553826265378641,3.655581373798626
1992-07-01,Pi_bar_trend,3.156709316527073,3.2460349359221823,3.3432527115815023,3.440271276561977,3.5420752478692146
1992-10-01,Pi_bar_trend,3.0610072911637682,3.1479870434552564,3.2446539794629556,3.344779327401796,3.435703304434886
1993-01-01,Pi_bar_trend,2.9455224309177446,3.0352420765313766,3.1317212658116116,3.2326625509669573,3.329338226052461
1993-04-01,Pi_bar_trend,2.9618007459524884,3.054095763287664,3.1517435854089135,3.253029152101748,3.352042230475633
1993-07-01,Pi_bar_trend,2.860932074928643,2.957353505020435,3.0561389711710487,3.1555753365574373,3.2501006868483504
1993-10-01,Pi_bar_trend,2.842020081770082,2.9322696206245924,3.0291261540760623,3.127073702414741,3.2214895788545217
1994-01-01,Pi_bar_trend,2.832242707369718,2.9231327698251435,3.0151884547440972,3.110296284720915,3.2011319953970636
1994-04-01,Pi_bar_trend,2.8620195760719302,2.961547825332085,3.0568628013906203,3.1522323214632535,3.24339738091193
1994-07-01,Pi_bar_trend,2.8604311618708773,2.9524083295135326,3.047132742614536,3.1461543645337624,3.2359957998117124
1994-10-01,Pi_bar_trend,2.851067245307652,2.937914378284034,3.0318296147935504,3.1303515740510663,3.2208195297833044
1995-01-01,Pi_bar_trend,2.7622718758399754,2.849623287095343,2.9390609836971135,3.0288953292526237,3.1194665664509205
1995-04-01,Pi_bar_trend,2.675435818635301,2.7622680893396514,2.849246195481795,2.9363414279334505,3.0269345416866678
1995-07-01,Pi_bar_trend,2.5575375500601414,2.6500889380711774,2.737421975385333,2.8223647697852106,2.9049854484715185
1995-10-01,Pi_bar_trend,2.4208702629146277,2.5047845777261277,2.5923774842841514,2.6802352679666517,2.7665566496199903
1996-01-01,Pi_bar_trend,2.3649669131302447,2.4424911648108165,2.527679804924339,2.6133895075268754,2.6953824946786753
1996-04-01,Pi_bar_trend,2.3701066764271412,2.456786373839718,2.5384277870406833,2.622912024352476,2.705791947103254
1996-07-01,Pi_bar_trend,2.3623660418821584,2.4428814927689926,2.5287299742053095,2.6175515299258465,2.701940115404093
1996-10-01,Pi_bar_trend,2.33875942657203,2.420271110319425,2.5070019379986137,2.587808404994885,2.6685557579120367
1997-01-01,Pi_bar_trend,2.344543813097623,2.4275692880989603,2.5092671570932397,2.5914942512201504,2.676791503225243
1997-04-01,Pi_bar_trend,2.2776154349445528,2.3622497336278054,2.447418450443282,2.533895404138709,2.6194450455006235
1997-07-01,Pi_bar_trend,2.230425867107716,2.3177836478720195,2.4069218559201837,2.493409772381346,2.5771232874385563
1997-10-01,Pi_bar_trend,2.080004240381611,2.1625205825023674,2.253497560456585,2.342295542363,2.430255399698643
1998-01-01,Pi_bar_trend,1.988250300566078,2.072394339635407,2.1636637993446124,2.253419883307818,2.3392947484603805
1998-04-01,Pi_bar_trend,1.914918783249305,1.9983695308340106,2.0904108854665586,2.1810068681707535,2.2673677429192436
1998-07-01,Pi_bar_trend,1.8466206767180515,1.9417661462937126,2.0337128288155055,2.126299863648174,2.2193469261980487
1998-10-01,Pi_bar_trend,1.8036948419797383,1.8951052661297332,1.985786017126455,2.0763977035362604,2.169831980134908
1999-01-01,Pi_bar_trend,1.7650154083803045,1.8489930268316632,1.9388271920110067,2.0268020596875163,2.1129062557770326
1999-04-01,Pi_bar_trend,1.810539361935828,1.8944744564000224,1.980444464111802,2.0689159000270103,2.156308656150948
1999-07-01,Pi_bar_trend,1.813606409355914,1.9036521801244395,1.992832025683087,2.08223560627941,2.165535753261118
1999-10-01,Pi_bar_trend,1.826067155760859,1.913114387768086,2.0003979415450877,2.0831908259121263,2.167964012502475
2000-01-01,Pi_bar_trend,1.8327728383342279,1.9155954728185542,2.0047974850154717,2.0905975732386994,2.1785856235042274
2000-04-01,Pi_bar_trend,1.7886976473843075,1.8760615889347032,1.9680747213052743,2.0570007427051586,2.1400031221171503
2000-07-01,Pi_bar_trend,1.7667483846345682,1.8541251068429665,1.9468675308521246,2.039500783558083,2.134623349111524
2000-10-01,Pi_bar_trend,1.7515653944818155,1.8418406412579191,1.9344433308360192,2.0250988071979434,2.111751834788182
2001-01-01,Pi_bar_trend,1.7518031949816795,1.8394185329703592,1.929095366199717,2.0149608753254173,2.1022972120129784
2001-04-01,Pi_bar_trend,1.8061710404176525,1.8946231760447894,1.9802343264388544,2.07137071844601,2.1576412789367683
2001-07-01,Pi_bar_trend,1.8499425500764484,1.9370720839164333,2.0277810457013645,2.115534349167591,2.2020102456628714
2001-10-01,Pi_bar_trend,1.9036751424209655,1.9922381750143499,2.0868615141249607,2.1780779306329396,2.268346576129914
2002-01-01,Pi_bar_trend,1.9562031122599477,2.045703940689951,2.1404499320482215,2.234454197117954,2.318837637804231
2002-04-01,Pi_bar_trend,1.9455938944720108,2.036049502256427,2.13226401035811,2.232569956151663,2.3200709970595597
2002-07-01,Pi_bar_trend,1.890395144200247,1.9879476803803728,2.088281873469438,2.189643336581695,2.2844220683573875
2002-10-01,Pi_bar_trend,1.859796970117571,1.957391959893616,2.06320377371499,2.1679247802147854,2.2624811871572983
2003-01-01,Pi_bar_trend,1.8663322713937234,1.9667926341042934,2.0688587367062885,2.1710207227444562,2.267311336243338
2003-04-01,Pi_bar_trend,1.8290223662371559,1.936640804004653,2.0418390822890613,2.148365843376515,2.2479494467813987
