Date,Series,p2_5,p16,p50,p84,p97_5
1960-01-01,Pi,-1.7862140554499983,-1.7862140554499983,-1.533499436244071,-0.7434354339447097,-0.7434354339447097
1960-04-01,Pi,-0.04791851921977103,-0.04791851921977103,0.09191893618610562,0.7864107124978968,0.7864107124978968
1960-07-01,Pi,-0.6188398534647669,-0.6188398534647669,-0.5073118915945252,0.2853441639743557,0.2853441639743557
1960-10-01,Pi,-0.531665742080752,-0.531665742080752,-0.2267042065701997,0.5232427521838695,0.5232427521838695
1961-01-01,Pi,-1.5973889714220164,-1.5973889714220164,-1.2398636428660412,-0.43276115132412524,-0.43276115132412524
1961-04-01,Pi,-2.4210762839791213,-2.4210762839791213,-2.051778757817418,-1.1529712184786263,-1.1529712184786263
1961-07-01,Pi,-1.009473548067036,-1.009473548067036,-0.6034213227101087,0.07379478067358766,0.07379478067358766
1961-10-01,Pi,-1.9099727880417499,-1.9099727880417499,-1.6438992046748455,-0.8881495327358685,-0.8881495327358685
1962-01-01,Pi,-0.6737258602505245,-0.6737258602505245,-0.19546648233068534,0.33239539437758436,0.33239539437758436
1962-04-01,Pi,-0.9874481511629907,-0.9874481511629907,-0.33516848900334123,-0.14826705458576322,-0.14826705458576322
1962-07-01,Pi,-1.1680366356501515,-1.1680366356501515,-0.5934697655785715,-0.47424588268162343,-0.47424588268162343
1962-10-01,Pi,-1.094046785821283,-1.094046785821283,-0.5880674781218669,-0.4769748034970001,-0.4769748034970001
1963-01-01,Pi,-1.2208556301209064,-1.2208556301209064,-0.5752311087664407,-0.5003840415460439,-0.5003840415460439
1963-04-01,Pi,-1.6772280722242257,-1.6772280722242257,-1.2847783006706015,-0.9613630302192188,-0.9613630302192188
1963-07-01,Pi,-0.4999736895006037,-0.4999736895006037,-0.07256972887008489,0.29050750516491686,0.29050750516491686
1963-10-01,Pi,-0.7379813669578458,-0.7379813669578458,-0.3684046407148109,-0.11880174304631698,-0.11880174304631698
1964-01-01,Pi,-0.5357208382388752,-0.5357208382388752,0.041095531003340825,0.2482490575349797,0.2482490575349797
1964-04-01,Pi,-1.6441822570468807,-1.6441822570468807,-0.9691419752989018,-0.6194366001731335,-0.6194366001731335
1964-07-01,Pi,-1.23520396759957,-1.23520396759957,-0.49977440830026215,-0.048765533819428074,-0.048765533819428074
