Date,Pi_bar_med,Pi_bar_p2_5,Pi_bar_p16,Pi_bar_p84,Pi_bar_p97_5,R_bar_med,R_bar_p2_5,R_bar_p16,R_bar_p84,R_bar_p97_5,NR_bar_med,NR_bar_p2_5,NR_bar_p16,NR_bar_p84,NR_bar_p97_5,Ts_bar_med,Ts_bar_p2_5,Ts_bar_p16,Ts_bar_p84,Ts_bar_p97_5
1960-01-01,2.0399985412428303,1.1772366026685717,1.1772366026685717,2.042035622856094,2.042035622856094,1.4813374031627842,1.208375341424,1.208375341424,2.037696186201887,2.037696186201887,3.3228702093474523,3.214932788870459,3.214932788870459,3.5213359444056147,3.5213359444056147,1.0160699976378356,0.6942257573609111,0.6942257573609111,1.1500821921137037,1.1500821921137037
1960-04-01,2.015169841192499,1.2276859377703317,1.2276859377703317,2.2605541818398516,2.2605541818398516,1.4451867027257852,1.2896342186953036,1.2896342186953036,1.9285252061148124,1.9285252061148124,3.315047787072671,3.156211143885144,3.156211143885144,3.7057408845656368,3.7057408845656368,1.0025574041662464,0.7142525160639122,0.7142525160639122,1.188389282547701,1.188389282547701
1960-07-01,2.0044773104249773,1.2192887001940385,1.2192887001940385,2.252595413159266,2.252595413159266,1.3825986689750431,1.3360297899398543,1.3360297899398543,1.8509163327319798,1.8509163327319798,3.4040281463515205,3.070205032926018,3.070205032926018,3.6154804766118085,3.6154804766118085,0.9914662046388525,0.6412809547205809,0.6412809547205809,1.180182173330206,1.180182173330206
1960-10-01,2.053996522618456,1.2193202522872066,1.2193202522872066,2.46481767616742,2.46481767616742,1.42766490498179,1.2429893618800398,1.2429893618800398,1.8186842424529268,1.8186842424529268,3.5014228907125826,3.0380044947401332,3.0380044947401332,3.89248258114921,3.89248258114921,0.9783511475011049,0.6333482198114664,0.6333482198114664,1.1739948607753958,1.1739948607753958
1961-01-01,2.0186649656691427,1.2353329226851393,1.2353329226851393,2.367861281455082,2.367861281455082,1.469248068380247,1.2049468022494703,1.2049468022494703,1.8999679821760653,1.8999679821760653,3.433556404676729,3.1353009048612046,3.1353009048612046,3.8371093498353286,3.8371093498353286,1.0386918718328,0.5955123404660625,0.5955123404660625,1.165311311850093,1.165311311850093
1961-04-01,1.8354178358808222,1.0893949543634234,1.0893949543634234,2.4805789474671527,2.4805789474671527,1.4700543949655631,1.2295981447749487,1.2295981447749487,1.9622870738904763,1.9622870738904763,3.5434594931958996,3.0516820282538997,3.0516820282538997,3.950633342432716,3.950633342432716,0.953235939939651,0.49487077293115306,0.49487077293115306,1.1173334130693284,1.1173334130693284
1961-07-01,1.8693294495631654,1.1130074905300533,1.1130074905300533,2.4906955075751913,2.4906955075751913,1.392148020384185,1.2275548548114559,1.2275548548114559,1.897440660224003,1.897440660224003,3.456788599677787,3.0104481507540566,3.0104481507540566,3.882843527959376,3.882843527959376,1.0194279555727301,0.52351223557901,0.52351223557901,1.1872203400530825,1.1872203400530825
1961-10-01,1.8698725063826076,1.3349603745941965,1.3349603745941965,2.2897264656252085,2.2897264656252085,1.3385913811218964,1.2369200861974587,1.2369200861974587,1.9503825932354495,1.9503825932354495,3.4015183434112912,3.1067925925800663,3.1067925925800663,3.626553310698469,3.626553310698469,1.0163880555389586,0.523119309249511,0.523119309249511,1.1597508364450397,1.1597508364450397
1962-01-01,1.9649203662068682,1.4478648681927646,1.4478648681927646,2.4474621387920665,2.4474621387920665,1.4574698373087251,1.263906707140343,1.263906707140343,1.9419986623848593,1.9419986623848593,3.540671782259679,3.1938125897209853,3.1938125897209853,3.9049319761007917,3.9049319761007917,1.0353371921987597,0.571751657977968,0.571751657977968,1.1572213429162392,1.1572213429162392
1962-04-01,2.0365805926673257,1.6017736568365346,1.6017736568365346,2.5868593228499805,2.5868593228499805,1.4453880121995073,1.1744092516344118,1.1744092516344118,1.8412811521355692,1.8412811521355692,3.587253123507555,3.2109898443017375,3.2109898443017375,4.032247335049488,4.032247335049488,0.9655883749633466,0.6274375517192682,0.6274375517192682,1.1771874349875515,1.1771874349875515
1962-07-01,1.8455651986136303,1.5222096784486139,1.5222096784486139,2.745544210433105,2.745544210433105,1.4677859189974827,1.0937496097295833,1.0937496097295833,1.8902914071768309,1.8902914071768309,3.503648188495535,2.9393148083432137,2.9393148083432137,4.213330129430588,4.213330129430588,1.020640408148343,0.5951264421729112,0.5951264421729112,1.1739788133851479,1.1739788133851479
1962-10-01,1.848462761556077,1.45199373018699,1.45199373018699,3.069253375654541,3.069253375654541,1.5085688320519193,1.1214569885200076,1.1214569885200076,1.8726376566729075,1.8726376566729075,3.332034446050514,2.9699197500760848,2.9699197500760848,4.57782220770646,4.57782220770646,0.9268001891752096,0.5535859885862666,0.5535859885862666,1.269547981296821,1.269547981296821
1963-01-01,1.8755271723995741,1.5066262171280969,1.5066262171280969,3.067583058750718,3.067583058750718,1.485749761845494,1.1495823205911089,1.1495823205911089,1.9664866006635802,1.9664866006635802,3.515627616008775,2.933284444330412,2.933284444330412,4.5533328205962125,4.5533328205962125,0.875121231110756,0.6503186008318412,0.6503186008318412,1.2706913611012773,1.2706913611012773
1963-04-01,1.921859171900756,1.5971812241986572,1.5971812241986572,2.9258115766957293,2.9258115766957293,1.4594610078132484,1.1827930277391634,1.1827930277391634,2.04347167520988,2.04347167520988,3.4955234582442536,3.0311630608889812,3.0311630608889812,4.385272584508978,4.385272584508978,0.8867684469779213,0.6327584292225974,0.6327584292225974,1.215769398500142,1.215769398500142
