Date,Series,p2_5,p16,p50,p84,p97_5
1960-01-01,Pi_bar,1.1772366026685717,1.1772366026685717,2.0399985412428303,2.042035622856094,2.042035622856094
1960-04-01,Pi_bar,1.2276859377703317,1.2276859377703317,2.015169841192499,2.2605541818398516,2.2605541818398516
1960-07-01,Pi_bar,1.2192887001940385,1.2192887001940385,2.0044773104249773,2.252595413159266,2.252595413159266
1960-10-01,Pi_bar,1.2193202522872066,1.2193202522872066,2.053996522618456,2.46481767616742,2.46481767616742
1961-01-01,Pi_bar,1.2353329226851393,1.2353329226851393,2.0186649656691427,2.367861281455082,2.367861281455082
1961-04-01,Pi_bar,1.0893949543634234,1.0893949543634234,1.8354178358808222,2.4805789474671527,2.4805789474671527
1961-07-01,Pi_bar,1.1130074905300533,1.1130074905300533,1.8693294495631654,2.4906955075751913,2.4906955075751913
1961-10-01,Pi_bar,1.3349603745941965,1.3349603745941965,1.8698725063826076,2.2897264656252085,2.2897264656252085
1962-01-01,Pi_bar,1.4478648681927646,1.4478648681927646,1.9649203662068682,2.4474621387920665,2.4474621387920665
1962-04-01,Pi_bar,1.6017736568365346,1.6017736568365346,2.0365805926673257,2.5868593228499805,2.5868593228499805
1962-07-01,Pi_bar,1.5222096784486139,1.5222096784486139,1.8455651986136303,2.745544210433105,2.745544210433105
1962-10-01,Pi_bar,1.45199373018699,1.45199373018699,1.848462761556077,3.069253375654541,3.069253375654541
1963-01-01,Pi_bar,1.5066262171280969,1.5066262171280969,1.8755271723995741,3.067583058750718,3.067583058750718
1963-04-01,Pi_bar,1.5971812241986572,1.5971812241986572,1.921859171900756,2.9258115766957293,2.9258115766957293
1963-07-01,Pi_bar,1.5543076929147324,1.5543076929147324,1.9121774905753197,2.964049009585251,2.964049009585251
1963-10-01,Pi_bar,1.6762304086523976,1.6762304086523976,1.85089075921209,2.88502619093106,2.88502619093106
1964-01-01,Pi_bar,1.4569080767120928,1.4569080767120928,1.9114080996290972,2.850178265788493,2.850178265788493
1964-04-01,Pi_bar,1.631876809870309,1.631876809870309,1.7577957067200476,2.851550391896402,2.851550391896402
1964-07-01,Pi_bar,1.5199298517755937,1.5199298517755937,1.6592711616482916,2.8775896790211255,2.8775896790211255
1964-10-01,Pi_bar,1.5275094624598153,1.5275094624598153,1.6951968281514964,2.9745497618940315,2.9745497618940315
1965-01-01,Pi_bar,1.5607119849426163,1.5607119849426163,1.8106392736514996,3.09639184730637,3.09639184730637
1965-04-01,Pi_bar,1.5577320298452937,1.5577320298452937,1.8123260238045886,3.079744687716193,3.079744687716193
